25.000000,14.000000
26.500000,13.750000
13.000000,14.000000
25,15
26.000000,15.750000
26.000000,14.500000
24.500000,16.000000
24.000000,16.250000
27.000000,15.000000
27.000000,16.000000
28.500000,14.500000
17.000000,15.000000
25.000000,16.500000
26.000000,19.500000
26.500000,19.750000
24.500000,19.750000
21.000000,19.000000
13.000000,18.000000
24.000000,20.250000
28.500000,20.500000
26.000000,20.750000
17.000000,21.000000
15.500000,21.500000
16.000000,21.500000
14.000000,26.750000
14.750000,28.000000
14.500000,26.000000
15.000000,27.000000
16.000000,27.000000
16.500000,28.000000
18.000000,27.000000
18.500000,28.000000
16.500000,26.000000
17.000000,26.000000
16.500000,22.000000
14.000000,27.500000
28.000000,27.500000
29.000000,29.000000
29.000000,28.000000
14.500000,28.000000
28.000000,29.000000
27.000000,29.000000
27.500000,30.000000
